Year	Month	Ontime Arrivals	Ontime (%)	Arrival Delays	Delayed (%)	Flights Cancelled	Cancelled (%)	Diverted	Flight Operations
1987.75	October	360648	0.8039	84132	0.1875	3001	0.0067	839	448620
1987.833333	November	321995	0.7616	94522	0.2236	5191	0.0123	1095	422803
1987.916667	December	292913	0.6651	134116	0.3045	11493	0.0261	1881	440403
1988	January	303039	0.6935	115851	0.2651	15755	0.0361	2305	436950
1988.083333	February	308445	0.7476	95549	0.2316	7323	0.0177	1262	412579
1988.166667	March	351154	0.7890	89748	0.2016	3123	0.0070	1055	445080
1988.25	April	353271	0.8267	70576	0.1652	2414	0.0056	1064	427325
1988.333333	May	357306	0.8197	74912	0.1718	2627	0.0060	1071	435916
1988.416667	June	363946	0.8438	65216	0.1512	1203	0.0028	934	431299
1988.5	July	359689	0.8154	77226	0.1751	2750	0.0062	1453	441118
1988.583333	August	370625	0.8296	72407	0.1621	2478	0.0055	1259	446769
1988.666667	September	363124	0.8563	58105	0.1370	2038	0.0048	808	424075
1988.75	October	368372	0.8340	70169	0.1589	2306	0.0052	823	441670
1988.833333	November	326848	0.7766	89445	0.2125	3517	0.0084	1051	420861
1988.916667	December	333825	0.7614	98649	0.2250	4629	0.0106	1351	438454
1989	January	337418	0.7668	93842	0.2133	7040	0.0160	1722	440022
1989.083333	February	286191	0.7242	99421	0.2516	8106	0.0205	1458	395176
1989.166667	March	302961	0.6962	108023	0.2482	22858	0.0525	1339	435181
1989.25	April	338253	0.8339	64569	0.1592	2086	0.0051	696	405604
1989.333333	May	330686	0.7946	81824	0.1966	2523	0.0061	1127	416160
1989.416667	June	293248	0.7218	107882	0.2655	3722	0.0092	1441	406293
1989.5	July	320693	0.7687	92283	0.2212	2953	0.0071	1237	417166
1989.583333	August	317993	0.7463	104512	0.2453	2692	0.0063	888	426085
1989.666667	September	330451	0.7961	78531	0.1892	5195	0.0125	891	415068
1989.75	October	347348	0.7946	84585	0.1935	4211	0.0096	990	437134
1989.833333	November	325992	0.7802	87268	0.2089	3497	0.0084	1064	417821
1989.916667	December	301496	0.7020	116726	0.2718	9282	0.0216	1986	429490
