Tablet name,Video battery life (in hours),Maximum brightness (in cd/m2)
Acer Iconia Tab A100,6,227
Acer Iconia Tab A500,7.8,377
Acer Iconia Tab A501,6.4,322
Apple iPad,12.6,388
Apple iPad 2,11.9,432
Archos 70 8GB,4.7,302
Archos 80 G9,5.8,220
Archos 101 8GB,5.8,177
Archos 101 G9,5.5,247
Asus Eee Pad Transformer,7.3,320
Coby Kyros,6.06,157
Dell Streak 7,3.3,330
HTC Evo View 4G (Sprint),6.9,454
HTC Flyer,6,372
Lenovo IdeaPad K1,8.6,289
Motorola Xoom,9.3,312
Samsung Galaxy Tab,7.8,364
Samsung Galaxy Tab 8.9,8.2,372
Samsung Galaxy Tab 10.1 4G (Verizon),8.4,455
T-Mobile G-Slate,9.7,424
Toshiba Thrive 10-inch,9.6,337
ViewSonic gTablet,7.8,364
Vizio Tablet VTAB1008,5.9,278
