Year,Fires,Acres,year since 85
2010,71971,3422724,25
2009,78792,5921786,24
2008,78979,5292468,23
2007,85705,9328045,22
2006,96385,9873745,21
2005,66753,8689389,20
2004,65461,8097880,19
2003,63629,3960842,18
2002,73457,7184712,17
2001,84079,3570911,16
2000,92250,7393493,15
1999,92487,5626093,14
1998,81043,1329704,13
1997,66196,2856959,12
1996,96363,6065998,11
1995,82234,1840546,10
1994,79107,4073579,9
1993,58810,1797574,8
1992,87394,2069929,7
1991,75754,2953578,6
1990,66481,4621621,5
1989,48949,1827310,4
1988,72750,5009290,3
1987,71300,2447296,2
1986,85907,2719162,1
1985,82591,2896147,0
