condition,year built,Age
5.44,1963,46
6.47,1963,46
7,2008,2
6.44,1994,16
5.45,1942,67
6.13,1993,16
5.43,1966,43
5.58,1966,43
4.39,1987,22
4.83,1966,44
6.63,2003,7
5,1977,32
6.59,1977,33
5.31,1978,31
7,2009,0
4.47,1987,22
6.61,2001,8
5.8,1966,43
4.17,1929,81
6.32,1943,67
6.39,1998,12
7,1935,75
3.41,1964,46
4.88,1932,77
4.95,1932,78
4.44,1960,49
5.43,1975,34
3.6,1935,74
6.44,1999,10
5.26,1965,44
4.86,1965,45
4.13,1920,90
4.9,1940,70
5.57,1983,26
4.68,1910,99
4.55,1971,38
6.36,1990,20
2.39,1887,123
6.64,2007,3
5.05,1988,21
5.17,1936,73
5.37,1985,24
5.76,1991,18
4.93,1982,27
3.58,1915,95
6.76,1997,12
5.4,1981,28
5.79,1992,18
5.34,1953,56
6.25,1953,56
4.45,1970,39
5.98,1998,12
6.05,1987,22
4.13,1930,79
5.04,1938,71
4.98,1938,71
7,2009,0
4.31,1951,59
6.09,1949,60
4.38,1955,54
3.55,1939,71
4,1930,80
6.56,2002,8
6.34,2002,8
3.83,1935,74
5.79,1965,44
4.24,1985,24
5.95,1988,21
4.69,1959,50
4.26,1967,42
5.49,1992,18
4.1,1915,95
6.42,2003,6
5.14,1920,89
4.09,1930,79
4.87,1971,38
4.72,1981,28
2.94,1900,110
5.88,1977,33
5.72,1917,92
7,2008,2
5.03,1981,28
6.8,2005,4
4.39,1925,84
5.97,1995,14
5.41,1960,49
4.32,1955,54
6.63,1925,84
4.96,1965,45
4.97,1965,45
4.69,1965,45
6,1968,41
6.49,1997,12
6.19,1997,12
6.15,1996,14
6.65,1996,14
3.78,1942,68
3.94,1938,72
5.37,1977,33
4.46,1938,71
4.86,1953,56
4.5,1940,69
6.19,1960,50
5.03,1931,79
4.42,1966,44
6.47,2001,8
4.98,1920,89
5.76,1930,79
4.54,1930,80
5.58,1934,76
5.19,1926,83
6.4,1957,52
4.28,1968,41
4.36,1962,48
5.13,1951,58
5.86,1960,49
5.89,1996,14
6.48,1995,14
6.44,1995,14
5.99,1996,14
,,?
,,?
6.28,1995,15
5.29,1964,46
5.24,1964,46
6.47,1987,22
6.62,1995,14
6.46,2003,6
5.24,1986,24
4.2,1909,101
4.97,1982,27
6.3,1996,14
4.32,1970,39
5.07,1929,80
5.71,1992,18
3.04,1881,129
4.81,1936,73
6.81,2000,10
4.12,1950,59
4.81,1975,34
6.41,1995,14
5.49,1936,74
3.91,1930,79
5.78,1945,64
4.1,1964,46
4.37,1900,110
3.85,1930,79
5.78,1986,23
5.7,1945,65
4.57,1960,49
6.63,1998,12
6.66,2002,8
5.11,1935,74
4.77,1977,32
3.53,1961,49
6.8,2000,9
5.13,1975,34
4.51,1960,49
5.04,1959,50
5.24,1959,50
4.51,1959,50
3.56,1959,51
,,?
4.59,1990,20
5.53,1990,20
5.15,1990,20
6.24,1990,20
5.27,1972,37
6.47,1930,80
3.88,1925,84
5.72,1991,18
4.52,1853,157
3.95,1950,59
4.06,1920,90
4.43,1931,78
4.05,1987,22
5.33,1960,49
5.18,1981,28
6.29,2002,8
7,2005,4
4.06,1930,80
6.74,2001,8
5.24,1937,72
6.83,2001,8
4.53,1926,83
6.7,1993,17
5.75,1993,17
5.4,1865,144
6.15,1997,12
4.68,1949,60
4.73,1915,94
4.38,1930,79
4,1935,75
5.79,1990,19
6.7,2007,2
5.78,1990,20
3.81,1924,86
5.29,1940,69
3,1930,80
