City,Cost07,Cost08
Seoul,122.4,117.7
HongKong,119.4,117.6
Copenhagen,110.2,117.2
Geneva,109.8,115.8
Zurich,107.6,112.7
Milan,104.4,111.3
Osaka,108.4,110
Paris,101.4,109.4
Singapore,100.4,109.1
TelAviv,97.7,105
Sydney,94.9,104.1
Dublin,99.6,103.9
Rome,97.6,103.9
StPetersburg,103,103.1
Vienna,96.9,102.3
Beijing,95.9,101.9
Helsinki,93.3,101.1
NewYorkCity,100,100
Istanbul,87.7,99.4
Shanghai,92.1,98.3
Amsterdam,92.2,97
Moscow,134.4,142.4
Tokyo,122.1,127
London,126.3,125
Oslo,105.8,118.3
