School,Fall 2010 Acceptance Rate,6-Year Graduation Rate
"Harvard University  Cambridge, MA",7,97
"Princeton University  Princeton, NJ",9,96
"Yale University  New Haven, CT",8,96
"Columbia University  New York, NY",10,96
"California Institute of Technology  Pasadena, CA",13,90
"Massachusetts Institute of Technology  Cambridge, MA",10,93
"Stanford University  Stanford, CA",7,95
"University of Chicago  Chicago, IL",19,92
"University of Pennsylvania  Philadelphia, PA",14,96
"Duke University  Durham, NC",16,94
"Dartmouth College  Hanover, NH",12,95
"Northwestern University  Evanston, IL",23,94
"Johns Hopkins University  Baltimore, MD",21,92
"Washington University in St. Louis  St. Louis, MO",21,94
"Brown University  Providence, RI",9,96
"Cornell University  Ithaca, NY",18,93
"Rice University  Houston, TX",21,92
"Vanderbilt University  Nashville, TN",18,91
"University of Notre Dame  Notre Dame, IN",29,96
"Emory University  Atlanta, GA",29,89
"University of California--Berkeley  Berkeley, CA",22,91
"Georgetown University  Washington, DC",20,93
"Carnegie Mellon University  Pittsburgh, PA",33,86
"University of Southern California  Los Angeles, CA",24,89
"University of California--Los Angeles  Los Angeles, CA",23,90
"University of Virginia  Charlottesville, VA",33,93
"Wake Forest University  Winston-Salem, NC",40,89
"University of Michigan--Ann Arbor  Ann Arbor, MI",51,90
"Tufts University  Medford, MA",24,91
"University of North Carolina--Chapel Hill  Chapel Hill, NC",32,90
"Boston College  Chestnut Hill, MA",31,91
"Brandeis University  Waltham, MA",35,91
"College of William and Mary  Williamsburg, VA",32,90
"New York University  New York, NY",38,85
"University of Rochester  Rochester, NY",38,84
"Georgia Institute of Technology  Atlanta, GA",52,80
"University of California--San Diego  La Jolla, CA",38,86
"Case Western Reserve University  Cleveland, OH",67,82
"Lehigh University  Bethlehem, PA",38,88
"University of California--Davis  Davis, CA",45,84
"University of Miami  Coral Gables, FL",39,80
"University of California--Santa Barbara  Santa Barbara, CA",46,85
"University of Washington  Seattle, WA",57,80
"University of Wisconsin--Madison  Madison, WI",57,84
"Pennsylvania State University--University Park  University Park, PA",55,85
"University of California--Irvine  Irvine, CA",45,83
"University of Illinois--Urbana-Champaign  Champaign, IL",67,84
"University of Texas--Austin  Austin, TX",47,81
"Yeshiva University  New York, NY",72,82
"George Washington University  Washington, DC",32,81
