Shots,Goals
93,23
161,32
103,19
120,22
153,27
173,30
162,28
133,23
179,31
173,30
290,50
152,26
137,23
272,45
117,19
117,19
149,24
260,41
101,16
209,33
83,13
266,41
117,18
105,16
179,27
228,34
87,13
195,29
94,14
289,43
169,25
102,15
211,31
96,14
213,31
215,31
125,18
104,15
196,28
126,18
126,18
149,21
149,21
100,14
136,19
122,17
115,16
246,34
188,26
233,32
102,14
154,21
177,24
192,26
238,32
202,27
127,17
279,37
90,12
98,13
279,37
182,24
130,17
130,17
237,31
185,24
163,21
201,26
170,22
94,12
179,23
148,19
86,11
126,16
166,21
268,34
245,31
102,13
175,22
253,32
95,12
270,34
135,17
216,27
184,23
112,14
120,15
177,22
113,14
218,27
161,20
228,28
115,14
254,31
98,12
172,21
205,25
181,22
98,12
91,11
173,21
157,19
239,29
117,14
217,26
108,13
83,10
202,24
210,25
135,16
243,29
186,22
195,23
203,24
161,19
85,10
103,12
180,21
138,16
192,22
191,22
158,18
158,18
220,25
115,13
248,28
124,14
89,10
188,21
89,10
107,12
199,22
296,33
90,10
180,20
100,11
154,17
119,13
128,14
129,14
138,15
165,18
156,17
102,11
167,18
187,20
335,36
233,25
149,16
132,14
123,13
151,16
305,32
183,19
211,22
212,22
193,20
117,12
272,28
175,18
204,21
116,12
213,22
196,20
215,22
127,13
89,9
169,17
129,13
179,18
120,12
171,17
191,19
111,11
141,14
192,19
325,32
193,19
227,22
145,14
298,29
229,22
218,21
178,17
168,16
190,18
210,20
199,19
105,10
116,11
149,14
149,14
171,16
85,8
127,12
118,11
183,17
218,20
87,8
176,16
221,20
201,18
89,8
234,21
135,12
135,12
202,18
191,17
367,32
196,17
151,13
187,16
129,11
215,18
131,11
178,15
180,15
84,7
157,13
156,13
168,14
120,10
120,10
208,17
280,23
182,15
123,10
234,19
160,13
111,9
113,9
87,7
113,9
150,12
265,21
152,12
240,19
140,11
114,9
114,9
116,9
306,24
182,14
91,7
104,8
207,16
183,14
104,8
131,10
197,15
173,13
94,7
282,20
172,12
144,10
103,7
177,12
117,8
90,6
167,11
151,10
92,6
108,7
109,7
157,10
192,12
113,7
162,10
97,6
99,6
83,5
153,9
101,6
105,6
127,7
129,7
94,5
97,5
154,8
83,4
107,5
129,6
157,7
251,11
90,4
167,7
112,4
88,3
87,3
118,4
105,3
137,3
85,1
