year,Month,Ontime Departures,Ontime (%),Departure Delays,Delayed (%),Flights Cancelled,Cancelled (%),Flight Operations
1995,January,364479,0.7839,86193,0.1854,14261,0.0307,464933
1995.083333,February,346625,0.8286,61733,0.1476,9954,0.0238,418312
1995.166667,March,385289,0.8349,68862,0.1492,7352,0.0159,461503
1995.25,April,378550,0.8582,56683,0.1285,5841,0.0132,441074
1995.333333,May,383676,0.8558,58248,0.1299,6417,0.0143,448341
1995.416667,June,359023,0.817,74600,0.1698,5800,0.0132,439423
1995.5,July,376750,0.8375,67283,0.1496,5823,0.0129,449856
1995.583333,August,381194,0.8334,68621,0.15,7608,0.0166,457423
1995.666667,September,382653,0.8904,42123,0.098,4998,0.0116,429774
1995.75,October,385028,0.8594,58098,0.1297,4891,0.0109,448017
1995.833333,November,348012,0.8148,72799,0.1705,6280,0.0147,427091
1995.916667,December,316317,0.7162,112691,0.2551,12680,0.0287,441688
1996,January,306313,0.6849,111316,0.2489,29595,0.0662,447224
1996.083333,February,321232,0.7644,84446,0.2009,14587,0.0347,420265
1996.166667,March,358946,0.7984,81700,0.1817,8923,0.0198,449569
1996.25,April,368325,0.8448,62160,0.1426,5522,0.0127,436007
1996.333333,May,374797,0.8349,67082,0.1494,7044,0.0157,448923
1996.416667,June,352745,0.7957,82543,0.1862,8023,0.0181,443311
1996.5,July,366548,0.7997,82478,0.1799,9350,0.0204,458376
1996.583333,August,369749,0.7998,84597,0.183,7948,0.0172,462294
1996.666667,September,368340,0.8403,62292,0.1421,7720,0.0176,438352
1996.75,October,377854,0.8276,70776,0.155,7947,0.0174,456577
1996.833333,November,359217,0.8256,66324,0.1524,9547,0.0219,435088
1996.916667,December,325433,0.7137,118234,0.2593,12330,0.027,455997
1997,January,340630,0.7419,100351,0.2186,18142,0.0395,459123
1997.083333,February,334044,0.8037,72999,0.1756,8613,0.0207,415656
1997.166667,March,378769,0.8216,73870,0.1602,8347,0.0181,460986
1997.25,April,375775,0.8401,64465,0.1441,7054,0.0158,447294
1997.333333,May,397721,0.8696,54461,0.1191,5179,0.0113,457361
1997.416667,June,366964,0.8141,76988,0.1708,6785,0.0151,450737
1997.5,July,384122,0.8229,74762,0.1602,7887,0.0169,466771
1997.583333,August,385808,0.8268,73874,0.1583,6926,0.0148,466608
1997.666667,September,394134,0.8868,43942,0.0989,6355,0.0143,444431
1997.75,October,393858,0.8576,57856,0.126,7533,0.0164,459247
1997.833333,November,360785,0.8338,65213,0.1507,6727,0.0155,432725
1997.916667,December,354600,0.7864,88089,0.1954,8215,0.0182,450904
1998,January,361128,0.799,76993,0.1703,13880,0.0307,452001
1998.083333,February,334043,0.8091,68305,0.1655,10484,0.0254,412832
1998.166667,March,368939,0.8026,80917,0.176,9847,0.0214,459703
1998.25,April,369170,0.834,66522,0.1503,6952,0.0157,442644
1998.333333,May,367197,0.8173,72703,0.1618,9393,0.0209,449293
1998.416667,June,336936,0.7547,96621,0.2164,12870,0.0288,446427
1998.5,July,377791,0.817,75308,0.1629,9330,0.0202,462429
1998.583333,August,375600,0.8062,75584,0.1622,14726,0.0316,465910
1998.666667,September,361494,0.8144,49514,0.1115,32893,0.0741,443901
1998.75,October,390523,0.8528,59616,0.1302,7815,0.0171,457954
1998.833333,November,377066,0.8638,53043,0.1215,6419,0.0147,436528
1998.916667,December,349930,0.7689,95269,0.2093,9900,0.0218,455099
1999,January,326509,0.7195,100762,0.222,26543,0.0585,453814
1999.083333,February,343027,0.8214,60077,0.1439,14523,0.0348,417627
1999.166667,March,379400,0.8137,74448,0.1597,12419,0.0266,466267
1999.25,April,365236,0.8105,76461,0.1697,8923,0.0198,450620
1999.333333,May,375019,0.8116,75178,0.1627,11857,0.0257,462054
1999.416667,June,353103,0.7668,94688,0.2056,12676,0.0275,460467
1999.5,July,360168,0.7598,99006,0.2089,14873,0.0314,474047
1999.583333,August,384732,0.8023,83106,0.1733,11711,0.0244,479549
1999.666667,September,383280,0.8328,61728,0.1341,15243,0.0331,460251
