rank2,name,rounds,average,total_dist,total_drives
1,J.B. Holmes  ,57,318.4,"33,751",106
2,Bubba Watson  ,85,314.9,"49,747",158
3,Dustin Johnson,72,314.2,"44,616",142
4,Robert Garrigus  ,83,313.4,"52,026",166
5,Gary Woodland  ,93,310.5,"57,745",186
6,Steven Bowditch  ,86,308.3,"50,569",164
7,Scott Piercy  ,78,305.4,"45,204",148
8,Jhonattan Vegas,84,304.9,"48,778",160
9,Kyle Stanley  ,98,304.6,"54,825",180
10,Will Strickler,51,304.1,"28,584",94
11,Scott Stallings  ,84,303.7,"47,374",156
12,Tag Ridings,87,303.3,"49,131",162
13,Martin Laird  ,77,303,"46,051",152
14,Jason Day,76,302.6,"44,179",146
15,Josh Teater  ,104,302.3,"59,244",196
16,Nick Watney  ,80,301.9,"46,500",154
17,Harrison Frazar  ,58,301.8,"35,006",116
18,Jim Herman,69,301.7,"36,806",122
19,Angel Cabrera  ,50,301.6,"27,747",92
20,Keegan Bradley,91,300.7,"52,319",174
21,Troy Matteson  ,91,300.2,"52,230",174
T22,Charley Hoffman  ,93,299.8,"55,162",184
T22,Phil Mickelson,79,299.8,"46,162",154
24,Adam Scott  ,60,299.7,"35,367",118
T25,Rickie Fowler  ,84,299.5,"48,520",162
T25,Zack Miller  ,86,299.5,"49,116",164
T25,Ryan Palmer  ,82,299.5,"47,915",160
T28,Sergio Garcia,61,299.2,"36,507",122
T28,Robert Karlsson  ,61,299.2,"35,309",118
30,Jimmy Walker  ,79,298.8,"47,213",158
T31,Alex Prugh  ,82,298.6,"46,581",156
T31,D.J. Trahan  ,91,298.6,"54,349",182
T33,James Driscoll,71,298.5,"38,802",130
T33,Brandt Jobe  ,100,298.5,"57,311",192
T33,Davis Love III,70,298.5,"41,783",140
36,Scott Gutschewski,67,298,"35,169",118
37,Derek Lamely,65,297.9,"37,538",126
T38,Bobby Gates  ,82,297.4,"44,013",148
T38,Bo Van Pelt  ,92,297.4,"53,533",180
40,Charles Howell III  ,108,297.3,"61,846",208
T41,John Merrick  ,71,297.2,"37,450",126
T41,Michael Putnam,67,297.2,"37,445",126
43,Charl Schwartzel,58,297,"33,269",112
T44,Chris Couch  ,73,296.8,"43,334",146
T44,Jim Renner,65,296.8,"33,836",114
T46,Tommy Gainey,104,296.7,"59,331",200
T46,John Rollins,85,296.7,"49,251",166
T48,Bill Haas  ,93,296.6,"54,570",184
T48,Boo Weekley,66,296.6,"36,775",124
50,David Duval  ,67,296.3,"39,698",134
T51,Aaron Baddeley  ,77,296.2,"44,430",150
T51,Webb Simpson  ,98,296.2,"58,064",196
53,Bio Kim,71,296.1,"38,497",130
54,Marc Leishman  ,87,296,"51,496",174
55,Kevin Chappell,78,295.8,"42,597",144
56,Chris Kirk  ,87,295.7,"51,446",174
57,Joseph Bramlett,73,295.6,"38,434",130
58,Jeff Overton  ,92,295.3,"53,750",182
59,Steve Marino  ,76,295.2,"44,873",152
60,George McNeill,69,295,"35,991",122
T61,Padraig Harrington  ,60,294.7,"34,778",118
T61,Andres Romero,77,294.7,"44,200",150
T63,Lucas Glover,74,294.6,"43,595",148
T63,Sean O'Hair,71,294.6,"41,241",140
65,Camilo Villegas,69,294.4,"40,041",136
T66,Vijay Singh,79,294.3,"46,492",158
T66,Cameron Tringale  ,110,294.3,"62,400",212
T68,Sunghoon Kang  ,63,294.2,"34,712",118
T68,Anthony Kim,72,294.2,"41,774",142
70,Matt Jones  ,71,293.9,"41,730",142
71,Chez Reavie  ,92,293.5,"53,998",184
T72,Ricky Barnes,78,293.3,"45,750",156
T72,John Senden  ,94,293.3,"55,144",188
74,Kevin Stadler,88,293.2,"46,910",160
T75,Andres Gonzales  ,60,293.1,"30,486",104
T75,Roland Thatcher  ,67,293.1,"39,272",134
77,Brendan Steele  ,89,292.8,"50,943",174
78,Rory Sabbatini,85,292.5,"47,377",162
79,Martin Piller  ,63,292.2,"34,482",118
80,Blake Adams  ,116,292.1,"65,435",224
T81,Stewart Cink,72,291.8,"38,521",132
T81,Tim Herron  ,85,291.8,"47,269",162
T81,Carl Pettersson,95,291.8,"54,271",186
T84,Jonathan Byrd  ,83,291.6,"47,827",164
T84,Hunter Mahan  ,92,291.6,"51,896",178
T84,Scott McCarron  ,65,291.6,"35,574",122
T84,Joe Ogilvie  ,75,291.6,"39,076",134
T84,Rod Pampling,72,291.6,"37,331",128
89,Bill Lunde  ,92,291.5,"51,298",176
90,Pat Perez,76,291.4,"44,289",152
91,Chris Stroud,88,291.2,"48,916",168
T92,Chad Campbell  ,99,291.1,"56,476",194
T92,J.J. Henry,96,291.1,"53,561",184
T94,Billy Horschel  ,75,291,"40,162",138
T94,Michael Thompson  ,79,291,"42,486",146
T96,David Hearn  ,88,290.9,"46,551",160
T96,Alexandre Rocha,65,290.9,"33,157",114
98,Michael Bradley  ,74,290.7,"40,703",140
99,Justin Rose,79,290.6,"44,759",154
T100,Robert Allenby,84,290.2,"48,165",166
T100,D.J. Brigman  ,67,290.2,"34,244",118
T100,Y.E. Yang,63,290.2,"34,239",118
T103,Tom Gillis  ,55,290.1,"31,914",110
T103,Lee Janzen,62,290.1,"32,495",112
T103,Ryan Moore,79,290.1,"43,510",150
106,Geoff Ogilvy  ,69,290,"38,286",132
T107,Retief Goosen,50,289.9,"28,415",98
T107,William McGirt,103,289.9,"57,398",198
T109,Ben Martin  ,74,289.5,"40,528",140
T109,Graeme McDowell,50,289.5,"27,213",94
111,Kevin Streelman  ,90,289.2,"52,050",180
112,Briny Baird  ,60,289.1,"31,223",108
113,Steve Stricker  ,70,288.8,"39,859",138
T114,Hunter Haas  ,96,288.5,"53,082",184
T114,Trevor Immelman,84,288.5,"48,465",168
116,Fabian Gomez  ,84,288.4,"43,832",152
117,Matt Bettencourt,84,288.3,"48,437",168
118,Ernie Els,71,288.1,"39,753",138
119,Brendon de Jonge  ,105,287.8,"58,132",202
120,Woody Austin  ,59,287.6,"30,487",106
121,Stuart Appleby,65,287.5,"37,374",130
T122,Fredrik Jacobson,92,287.4,"48,282",168
T122,D.A. Points  ,89,287.4,"51,162",178
124,Brandt Snedeker,85,287.2,"48,816",170
T125,Jason Dufner  ,78,286.8,"44,745",156
T125,Troy Merritt  ,63,286.8,"34,986",122
127,Spencer Levin  ,113,286.3,"62,416",218
128,Matt Kuchar,94,286.2,"50,366",176
T129,Rich Beem  ,53,286.1,"30,325",106
T129,Jarrod Lyle  ,83,286.1,"45,201",158
T129,Shaun Micheel,77,286.1,"41,773",146
132,Justin Hicks  ,60,286,"29,742",104
133,Charlie Wi  ,83,285.8,"47,443",166
134,K.J. Choi  ,77,285.6,"42,834",150
T135,Steve Elkington  ,50,285.4,"28,543",100
T135,Matt McQuillan  ,59,285.4,"31,399",110
T137,Nathan Green  ,81,285,"43,891",154
T137,Kent Jones,76,285,"40,474",142
T139,Kris Blanks  ,92,284.9,"51,276",180
T139,Jason Bohn  ,74,284.9,"39,879",140
T139,Ben Crane  ,76,284.9,"41,599",146
T139,Daniel Summerhays  ,75,284.9,"41,596",146
T143,Arjun Atwal  ,91,284.8,"51,842",182
T143,Mark Wilson  ,89,284.8,"49,548",174
T145,Cameron Beckman,71,284.3,"38,102",134
T145,Kevin Kisner,70,284.3,"36,394",128
T147,Luke Donald  ,73,284.1,"38,064",134
T147,Vaughn Taylor  ,89,284.1,"50,571",178
149,Paul Stankowski,78,283.9,"40,875",144
150,Stephen Ames,69,283.8,"36,890",130
151,Joe Durant,71,283.6,"39,143",138
152,Ryuji Imada  ,83,283.4,"47,048",166
T153,Brian Davis  ,105,283.3,"59,483",210
T153,Billy Mayfair  ,94,283.3,"50,999",180
T155,Ian Poulter  ,52,282.8,"28,850",102
T155,Marc Turnesa  ,54,282.8,"29,406",104
157,J.P. Hayes  ,56,282.7,"30,529",108
158,Aron Price  ,58,282.6,"29,388",104
159,Steve Flesch,88,282.5,"47,462",168
160,Johnson Wagner  ,81,282.2,"43,455",154
T161,David Mathis  ,83,282,"43,422",154
T161,Bryce Molder  ,82,282,"45,119",160
163,Heath Slocum  ,89,281.9,"49,612",176
164,Jim Furyk,87,281.4,"48,401",172
165,Nate Smith  ,66,281.2,"33,743",120
166,Tim Petrovic,88,280.5,"47,118",168
167,Alex Cejka,59,280.3,"33,076",118
T168,Shane Bertsch  ,62,280.1,"31,370",112
T168,Justin Leonard,82,280.1,"45,944",164
170,Kevin Na  ,84,279.8,"47,009",168
171,Garrett Willis  ,71,279.7,"38,598",138
172,Greg Chalmers  ,88,279.6,"48,090",172
173,Michael Connell  ,76,279.5,"42,484",152
174,Chris Riley  ,76,279.3,"40,221",144
175,David Toms,78,279.1,"41,302",148
176,Colt Knost  ,80,279,"41,291",148
177,Zach Johnson  ,79,278.2,"43,396",156
178,Chris DiMarco  ,93,277.9,"49,475",178
179,Dean Wilson  ,62,276.8,"34,319",124
180,Ben Curtis  ,66,276.7,"36,522",132
181,Richard S. Johnson  ,64,276.6,"32,087",116
182,Nick O'Hern  ,89,276.3,"46,965",170
183,Jerry Kelly,85,275.6,"44,091",160
184,Rocco Mediate,53,275.5,"29,208",106
185,Paul Goydos  ,81,274.8,"44,523",162
186,Brian Gay  ,90,269.8,"46,410",172
