"TABLE 12: TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, ANNUAL NATIONAL AVERAGES, FIXED-RATE MORTGAGES",,,,,
,,,,,
,,,,,
Property Type,Year,Contract,Mortgage,,
,,Interest,Loan,,
,,Rate,Amount,,
,,(%),($000),,
,,,,,
,,interest,amount,,
All Property Types,1985,11.93,65.3,,
All Property Types,1986,10.09,75.5,,
All Property Types,1987,9.52,81.9,,
All Property Types,1988,10.04,82.8,,
All Property Types,1989,10.21,96.7,,
All Property Types,1990,10.06,97.4,,
All Property Types,1991,9.38,101.0,,
All Property Types,1992,8.21,104.4,,
All Property Types,1993,7.27,101.9,,
All Property Types,1994,7.98,96.1,,
All Property Types,1995,8.01,99.4,,
All Property Types,1996,7.81,107.2,,
All Property Types,1997,7.73,118.7,,
All Property Types,1998,7.05,124.9,,
All Property Types,1999,7.32,126.4,,
All Property Types,2000,8.14,129.2,,
All Property Types,2001,7.03,143.9,,
All Property Types,2002,6.62,148.9,,
All Property Types,2003,5.83,155.4,,
All Property Types,2004,5.95,158.2,,
All Property Types,2005,6.00,183.0,,
All Property Types,2006,6.60,200.3,,
All Property Types,2007,6.44,210.7,,
All Property Types,2008,6.09,213.1,,
All Property Types,2009,5.06,215.8,,
All Property Types,2010,4.84,212.6,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
