Layout,Passenger Volume,Highway Fuel Economy,Drag Coefficient,Fuel Type,Head Room,Ground Clearance,Shoulder Room,Power,title,Trailer Weight,Cargo Volume (Seats Folded),Front Track,Volume,Front Suspension,Front,Rear Track,Leg Room,Rear,Weight Distribution,Transmission,Front Tires,Wheelbase,Seats,Length,Body Style,Market Segment,Forced Induction,Weight,Rear Suspension,Width,Direct Injection,Tongue Weight,Torque,Cargo Volume,Height,Rear Tires,City Fuel Economy,Engine Type,Hip Room,Payload,Size
Rear Wheel Drive,TBD,18 mpg,TBD,Gas,34.5 in.,9.9 in.,65.7 in.,381 hp @ 5600 rpm,2015 Toyota Sequoia specifications,7400 lbs,120.1 cu. ft.,67.9 in.,TBD,Double Wishbone,18 Aluminum,69.1 in.,35.3 in.,18 Aluminum,TBD,6-Speed Automatic,P275/65 R18,122.0 in.,8,205.1 in.,SUV,Standard,None,5730 lbs,Double Wishbone,79.9 in.,Yes,1000 lbs,401 lb-ft @ 3600 rpm,18.9 cu. ft.,77.0 in.,P275/65 R18,13 mpg,5.7L V8,50.4 in.,1350,Fullsize
Front Wheel Drive,94.6 cu. ft.,36 mpg,TBD,Gas,37.1 in.,TBD,53.3 in.,143 hp @ 6500 rpm,2016 Honda Civic Sedan specifications,TBD,TBD,59.0 in.,TBD,Strut-Type,15 Steel,59.9 in.,36.2 in.,15 Steel,60/40,5-Speed Manual,P195/65R15 89H,105.1 in.,5,179.4 in.,Sedan,Standard,None,2754 lbs,Multi-Link,69.0 in.,Yes,TBD,129 lb-ft @ 4300 rpm,12.5 cu. ft.,56.5 in.,P195/65R15 89H,28 mpg,1.8L I4,51.4 in.,N/A,Compact
All Wheel Drive,113.1 cu. ft.,29 mpg,TBD,Gas,39.8 in.,8.7 in.,56.5 in.,170 hp @ 5800 rpm,2016 Subaru Forester specifications,1500 lbs,74.7 cu. ft.,60.9 in.,TBD,Strut-Type,17 Steel,61.1 in.,38.0 in.,17 Steel,TBD,6-Speed Manual,225/60 R17 98H,103.9 in.,5,180.9 in.,SUV,Standard,None,3296 lbs,Double Wishbone,70.7 in.,No,TBD,174 lb-ft @ 4100 rpm,34.4 cu. ft.,66.4 in.,225/60 R17 98H,22 mpg,2.5L I4,53.0 in.,TBD,Compact
Rear Wheel Drive,78.4 cu. ft.,26 mpg,0.31,Gas,34.5 in.,TBD,45.8 in.,343 hp @ 7400 rpm,2015 Infiniti Q60 IPL Convertible specifications,TBD,TBD,60.8 in.,TBD,Double Wishbone,19 Aluminum,62.6 in.,27.2 in.,19 Aluminum,51/49,7-Speed Automatic,225/45R19 96W,112.2 in.,4,185.3 in.,Convertible,Near-Luxury; Sports,None,4189 lbs,Multi-Link,72.9 in.,No,TBD,273 lb-ft @ 5200 rpm,10.3 cu. ft.,55.1 in.,245/40R19 98W,18 mpg,3.7L V6,41.7 in.,N/A,Sub-Compact
Front Wheel Drive,TBD,TBD,TBD,Gas,35.4 in.,TBD,53.2 in.,208 hp @ 5500 rpm,2016 Mercedes-Benz CLA-Class specifications,TBD,TBD,60.9 in.,TBD,Strut-Type,17 Aluminum,60.8 in.,TBD,17 Aluminum,TBD,7-Speed Automated Manual,P225/45HR17,106.3 in.,5,182.3 in.,Sedan,Near-Luxury,Turbocharger,3264 lbs,Double Wishbone,70.0 in.,Yes,TBD,258 lb-ft @ 1250-4000 rpm,TBD,56.74 in.,P225/45HR17,TBD,2.0L I4,TBD,N/A,Compact
Front Wheel Drive,TBD,22 mpg,TBD,Gas,35.5 in.,8.9 in.,54.1 in.,240 hp @ 6400 rpm,2016 Volvo XC90 specifications,3970 lbs,85.1 cu. ft.,64.3 in.,TBD,Strut-Type,18 Aluminum,63.9 in.,30.1 in.,18 Aluminum,TBD,6-Speed Automatic,235/60-R18,112.6 in.,7,189.3 in.,SUV,Luxury,None,4667 lbs,Multi-Link,74.7 in.,No,TBD,236 lb-ft @ 3200 rpm,8.8 cu. ft.,70.2 in.,235/60-R18,16 mpg,3.2L I6,44.5 in.,TBD,Midsize
Rear Wheel Drive,45.4 cu. ft.,38 mpg,TBD,Gas,39.7 in.,TBD,48.0 in.,70 hp @ 5800 rpm,2016 Smart fortwo specifications,TBD,N/A,50.5 in.,TBD,Strut-Type,15 Aluminum,54.5 in.,41.2 in.,15 Aluminum,TBD,5-Speed Automated Manual,155/60R15,73.5 in.,2,106.1 in.,Hatchback,Economy,None,1808 lbs,Torsion-Beam,61.4 in.,No,TBD,68 lb-ft @ 4500 rpm,7.8 cu. ft.,60.7 in.,175/55R15,34 mpg,1.0L I4,45.4 in.,N/A,Sub-Compact
Front Wheel Drive,81.6 cu. ft.,34 mpg,0.352,Gas,36.8 in.,4.6 in.,46.4 in.,160 hp @ 5500 rpm,2016 Fiat 500c Abarth specifications,TBD,23.4 cu. ft.,55.4 in.,31.3 cu. ft.,Strut-Type,16 Aluminum,55.0 in.,31.7 in.,16 Aluminum,64/36,5-Speed Manual,195/45R16 XL 84V BSW,90.6 in.,4,144.4 in.,Convertible,Economy,Turbocharger,2545 lbs,Torsion-Beam,64.1 in.,No,TBD,170 lb-ft @ 2500-4000 rpm,5.4 cu. ft.,59.2 in.,195/45R16 XL 84V,28 mpg,1.4L I4,42.6 in.,N/A,Sub-Compact
Front Wheel Drive,97.7 cu. ft.,28 mpg,TBD,Gas,37.1 in.,5.5 in.,49.3 in.,157 hp @ 6000 rpm,2015 Mazda Mazda5 specifications,TBD,TBD,60.2 in.,TBD,Strut-Type,16 Aluminum,59.8 in.,30.5 in.,16 Aluminum,56/44,5-Speed Automatic,P205/50 R17 89V,108.3 in.,6,180.5 in.,Van,Standard,None,3457 lbs,Multi-Link,68.9 in.,No,TBD,163 lb-ft @ 4000 rpm,44.4 cu. ft.,63.6 in.,P205/50 R17 89V,21 mpg,2.5L I4,40.9 in.,TBD,Midsize
Front Wheel Drive,85.1 cu. ft.,33 mpg,0.30,Gas,37.1 in.,5.7 in.,49.0 in.,170 hp @ 4800 rpm,2016 Volkswagen Beetle specifications,TBD,29.9 cu. ft.,62.2 in.,33.0 cu. ft.,Strut-Type,17 Aluminum,60.9 in.,31.4 in.,17 Aluminum,TBD,5-Speed Manual,215/55 R17 H,99.9 in.,4,168.4 in.,Coupe,Standard,Turbocharger,2948 lbs,Multi-Link,71.2 in.,No,TBD,184 lb-ft @ 1500 rpm,15.4 cu. ft.,58.5 in.,215/55 R17 H,24 mpg,1.8L I4,TBD,N/A,Sub-Compact
Front Wheel Drive,100.6 cu. ft.,24 mpg,TBD,Gas,38.4 in.,7.0 in.,56.3 in.,308 hp @ 6800 rpm,2015 Cadillac SRX specifications,3500 lbs,61.1 cu. ft.,63.8 in.,TBD,Strut-Type,18 Aluminum,63.4 in.,36.3 in.,18 Aluminum,59/41,6-Speed Automatic,P235/65R18,110.5 in.,5,190.3 in.,SUV,Luxury,None,4277 lbs,Double Wishbone,75.2 in.,Yes,TBD,265 lb-ft @ 2400 rpm,29.9 cu. ft.,65.7 in.,P235/65R18,17 mpg,3.6L V6,54.7 in.,TBD,Midsize
Front Wheel Drive,151.8 cu. ft.,24 mpg,TBD,Gas,38.4 in.,7.6 in.,57.8 in.,281 hp @ 6300 rpm,2016 GMC Acadia specifications,5200 lbs,116.1 cu. ft.,67.3 in.,TBD,Strut-Type,18 Aluminum,67.1 in.,33.2 in.,18 Aluminum,TBD,6-Speed Automatic,P255/65R18,118.9 in.,7,200.8 in.,SUV,Standard,None,4656 lbs,Double Wishbone,78.9 in.,Yes,TBD,266 lb-ft @ 3400 rpm,24.1 cu. ft.,72.6 in.,P255/65R18,17 mpg,3.6L V6,48.3 in.,TBD,Fullsize
Front Wheel Drive,88.4 cu. ft.,31 mpg,0.325,Gas,36.4 in.,6.3 in.,52.1 in.,179 hp @ 6000 rpm,2016 Scion tC specifications,TBD,TBD,60.6 in.,TBD,Strut-Type,18 Aluminum,61.4 in.,34.6 in.,18 Aluminum,TBD,6-Speed Manual,P225/45R18,106.3 in.,5,176.6 in.,Coupe,Economy,None,3058 lbs,Double Wishbone,70.7 in.,No,TBD,172 lb-ft @ 4100 rpm,34.5 cu. ft.,55.7 in.,P225/45R18,23 mpg,2.5L I4,48.5 in.,N/A,Compact
